DOY_365,Tmin_C_p10,Tmin_C_p50,Tmin_C_p90,Tmax_C_p10,Tmax_C_p50,Tmax_C_p90,Tavg_C_p10,Tavg_C_p50,Tavg_C_p90,PRCP_mm_p10,PRCP_mm_p50,PRCP_mm_p90,SNOW_mm_p10,SNOW_mm_p50,SNOW_mm_p90,SNWD_mm_p10,SNWD_mm_p50,SNWD_mm_p90
1,-6.7,2.2,5.6,1.1,9.4,16.7,-2.8,6.1499999999999995,11.149999999999999,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0
2,-6.1,0.6,5.6,0.6,8.3,15.6,-2.2,5.0,8.6,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.7,0.0,7.8,1.1,7.8,18.9,-2.5,3.8500000000000005,13.05,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0
4,-6.1,-2.8,8.9,1.1,6.1,19.4,-3.05,2.2,14.7,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
5,-8.3,-1.0,7.8,0.6,6.1,17.2,-3.8500000000000005,3.6,10.55,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
6,-7.8,-1.1,6.1,1.1,5.6,15.6,-2.15,2.5,9.45,0.0,0.0,15.2,0.0,0.0,0.5,0.0,0.0,30.0
7,-8.3,-0.6,5.0,-2.7,5.6,15.0,-5.15,3.0500000000000003,11.1,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,50.0
8,-7.1,-1.1,3.9,-0.6,5.6,13.3,-3.9000000000000004,2.25,7.75,0.0,0.0,5.1,0.0,0.0,1.0,0.0,0.0,30.0
9,-5.0,-1.0,5.0,1.1,7.2,16.7,-1.9000000000000001,3.6500000000000004,9.75,0.0,0.0,6.6,0.0,0.0,0.8,0.0,0.0,30.0
10,-7.1,0.0,4.4,0.0,6.7,13.3,-3.6,3.65,8.9,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0
11,-6.0,-1.6,4.4,0.0,7.2,15.0,-2.8,3.6,9.15,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0
12,-4.9,1.1,6.7,1.7,10.6,17.2,-0.2999999999999998,4.75,10.3,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0
13,-5.0,-0.5,6.7,2.8,11.1,16.7,-0.25,5.800000000000001,11.95,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0
14,-5.0,-2.1,5.6,0.6,6.1,17.2,-1.9499999999999997,3.35,10.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0
15,-6.7,-2.2,3.9,0.6,5.6,13.9,-2.75,2.2,7.199999999999999,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0
16,-6.7,-0.6,2.8,0.0,6.7,13.9,-3.3,3.3499999999999996,8.049999999999999,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0
17,-8.3,0.0,4.4,-1.0,5.6,11.7,-4.7,3.3499999999999996,7.25,0.0,0.0,6.1,0.0,0.0,0.8,0.0,0.0,30.0
18,-8.8,-0.6,2.8,-3.9,5.6,15.0,-6.699999999999999,2.75,8.6,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,25.0
19,-7.8,-1.0,2.8,-0.6,7.2,12.8,-3.3000000000000003,3.6,6.95,0.0,0.0,9.4,0.0,0.0,0.8,0.0,0.0,0.0
20,-7.2,-2.2,3.9,-0.6,5.0,15.0,-3.8,2.25,8.05,0.0,0.0,5.1,0.0,0.0,0.8,0.0,0.0,25.0
21,-8.3,-4.4,1.1,-2.7,3.3,10.0,-4.9,-1.4000000000000001,5.050000000000001,0.0,0.0,4.6,0.0,0.0,1.8,0.0,0.0,25.0
22,-8.9,-4.3,2.2,-3.8,4.4,11.1,-6.550000000000001,0.0,6.7,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,25.0
23,-9.4,-1.7,3.9,-2.2,6.1,11.1,-5.800000000000001,2.8,7.75,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,51.0
24,-8.3,0.0,3.3,-1.7,7.8,14.4,-4.45,2.8,8.85,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,25.0
25,-7.2,-1.0,5.0,1.1,6.1,12.8,-2.8,2.55,8.05,0.0,0.0,7.1,0.0,0.0,0.8,0.0,0.0,50.0
26,-5.6,-1.7,4.4,1.1,5.6,12.8,-2.25,1.7,7.2,0.0,0.0,1.8,0.0,0.0,0.3,0.0,0.0,30.0
27,-6.6,-0.6,3.3,-0.6,7.2,16.1,-3.0999999999999996,3.6499999999999995,9.450000000000001,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,100.0
28,-8.3,-1.0,4.4,0.6,7.8,14.4,-3.85,3.05,7.75,0.0,0.0,7.1,0.0,0.0,0.5,0.0,0.0,100.0
29,-7.2,-1.7,5.0,0.6,5.0,15.6,-2.75,1.45,10.3,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,102.0
30,-7.7,-1.7,4.4,0.0,6.1,16.1,-3.85,1.45,10.55,0.0,0.0,8.4,0.0,0.0,2.5,0.0,0.0,76.0
31,-6.6,-1.7,3.9,1.1,6.7,13.9,-2.25,2.5,8.9,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,80.0
32,-6.6,-1.6,4.4,1.1,7.8,16.1,-1.9499999999999997,3.0500000000000003,9.45,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,56.10000000000007
33,-7.2,0.0,2.8,2.8,9.4,13.9,-1.35,3.9000000000000004,8.05,0.0,0.0,5.1,0.0,0.0,0.5,0.0,0.0,53.500000000000036
34,-4.4,-1.0,5.0,2.2,6.1,13.9,-1.0499999999999998,2.8,9.45,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,78.60000000000004
35,-5.0,-0.5,5.6,2.2,6.7,16.7,-1.4,4.199999999999999,10.0,0.0,0.0,16.8,0.0,0.0,0.3,0.0,0.0,32.70000000000011
36,-9.4,0.6,3.3,-2.2,5.6,13.9,-6.35,3.3499999999999996,8.3,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,30.100000000000072
37,-8.3,-0.6,3.9,1.7,8.3,13.9,-3.05,4.2,7.75,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,78.60000000000004
38,-6.1,-0.5,4.4,3.3,7.8,15.0,-1.4,4.2,8.850000000000001,0.0,0.0,8.4,0.0,0.0,0.8,0.0,0.0,81.10000000000008
39,-5.6,0.6,3.3,1.1,6.7,19.4,-2.25,3.9000000000000004,10.85,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,53.500000000000036
40,-6.7,-1.0,3.9,2.2,9.4,15.6,-1.6999999999999997,3.9499999999999997,10.3,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,53.500000000000036
41,-4.9,0.6,4.4,2.2,8.3,16.7,-1.0499999999999998,4.45,9.7,0.0,0.0,5.8,0.0,0.0,0.3,0.0,0.0,25.0
42,-5.6,0.0,7.2,2.2,7.2,18.3,-1.9,3.3500000000000005,10.549999999999999,0.0,0.0,10.9,0.0,0.0,0.3,0.0,0.0,2.5000000000000355
43,-6.6,-1.1,6.7,0.6,6.1,15.6,-2.2,1.95,10.55,0.0,0.0,12.2,0.0,0.0,0.3,0.0,0.0,15.000000000000213
44,-7.2,-1.1,2.2,1.1,6.7,12.2,-2.75,2.8,6.699999999999999,0.0,0.0,11.4,0.0,0.0,0.5,0.0,0.0,55.200000000000074
45,-6.1,-0.6,2.8,3.3,7.2,13.3,-1.1,3.4,8.35,0.0,0.0,10.2,0.0,0.0,0.3,0.0,0.0,51.0
46,-6.6,0.6,6.1,1.7,7.2,16.1,-1.6500000000000001,3.9,9.700000000000001,0.0,0.0,8.9,0.0,0.0,0.3,0.0,0.0,50.1
47,-7.2,0.0,4.4,1.7,8.3,18.9,-2.5,5.05,11.399999999999999,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,50.1
48,-7.8,0.0,3.9,1.1,6.7,16.7,-3.35,3.35,9.15,0.0,0.0,9.9,0.0,0.0,0.3,0.0,0.0,132.20000000000005
49,-5.6,-1.0,5.0,1.7,8.9,20.0,-1.9499999999999997,3.4000000000000004,10.3,0.0,0.0,6.4,0.0,0.0,0.8,0.0,0.0,55.90000000000007
50,-6.7,-1.0,4.4,2.8,10.0,16.7,-2.7500000000000004,4.45,9.75,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,32.50000000000011
51,-4.3,1.1,7.8,2.2,9.4,18.3,-0.55,5.05,12.8,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,30.500000000000078
52,-3.9,0.0,7.2,3.9,10.6,18.9,0.050000000000000044,5.8500000000000005,12.5,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,53.00000000000004
53,-3.2,1.7,6.1,2.2,11.1,17.8,0.2500000000000001,6.1499999999999995,12.25,0.0,0.3,6.9,0.0,0.0,0.0,0.0,0.0,2.5000000000000355
54,-3.9,2.2,7.8,5.0,8.9,19.4,1.65,5.550000000000001,13.85,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.0000000000000426
55,-4.4,0.6,7.8,3.9,11.7,18.3,0.0,5.550000000000001,11.95,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0
56,-2.8,0.6,6.7,3.9,10.6,20.6,1.35,6.1,11.950000000000001,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0
57,-2.7,1.1,6.1,3.9,10.0,16.1,1.4,5.85,11.4,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,3.0000000000000426
58,-3.8,1.7,7.2,4.4,11.7,17.8,0.04999999999999982,7.25,12.5,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0
59,-3.0199999999999996,2.2,7.320000000000002,2.8,10.6,18.9,0.48999999999999994,7.25,12.5,0.0,0.0,10.880000000000022,0.0,0.0,0.0,0.0,0.0,0.0
60,-3.3,2.2,7.8,4.4,11.1,20.6,1.4499999999999997,6.3999999999999995,11.700000000000001,0.0,0.0,7.4,0.0,0.0,0.3,0.0,0.0,0.0
61,-0.6,2.2,6.1,4.4,12.2,19.4,1.95,7.55,11.95,0.0,0.8,11.7,0.0,0.0,0.0,0.0,0.0,2.5000000000000355
62,-5.0,1.7,6.1,3.9,8.3,18.3,-0.55,5.550000000000001,12.25,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0
